class_order,class_type,new_class_code,new_class_name,old_class_code,old_class_type
7,JOB,313,회계 및 경리 사무원,313,회계 및 경리 사무원
7,JOB,314,비서 및 사무 보조원,314,비서 및 사무 보조원
7,JOB,320,금융 사무 종사자,320,금융 및 보험 관련 사무 종사자
7,JOB,213,생명 및 자연과학 관련 시험원,213,생명 및 자연과학 관련 시험원
7,JOB,A09,기타 군인,-,
7,JOB,7719,기타 정보 통신기기 설치 및 수리원,7619,기타 전기·전자기기 설치 및 수리원
7,JOB,7721,방송 관련 장비 설치 및 수리원,7801,영상 및 관련 장비 설치 및 수리원
7,JOB,7722,통신 관련 장비 설치 및 수리원,7802,통신 및 관련 장비 설치 및 수리원
7,JOB,7723,통신·방송·인터넷케이블 설치 및 수리원,7803,통신·방송 및 인터넷 케이블 설치 및 수리원
7,JOB,7811,강구조물 가공원 및 건립원,7711,강구조물 가공원 및 건립원
7,JOB,891,목재 및 종이 관련 기계 조작원,891,목재 및 종이 관련 기계조작원
7,JOB,892,인쇄 및 사진 현상 관련 기계 조작원,892,인쇄 및 사진현상 관련 기계조작원
7,JOB,899,기타 기계 조작원,899,기타 제조관련 기계조작원
7,JOB,910,건설 및 광업 단순 종사자,910,건설 및 광업 단순 종사원
7,JOB,921,하역 및 적재 단순 종사자,921,하역 및 적재 단순 종사원
7,JOB,922,배달원,922,배달원
7,JOB,930,제조 관련 단순 종사자,930,제조관련 단순 종사원
7,JOB,941,청소원 및 환경미화원,941,청소원 및 환경 미화원
7,JOB,942,건물 관리원 및 검표원,942,경비원 및 검표원
7,JOB,951,가사 및 육아 도우미,951,가사 및 육아 도우미
7,JOB,952,음식 관련 단순 종사자,952,음식관련 단순 종사원
7,JOB,953,판매 관련 단순 종사자,953,판매관련 단순 종사원
7,JOB,991,농림·어업 관련 단순 종사자,991,농림어업관련 단순 종사원
7,JOB,2712,회계사,2712,회계사
7,JOB,2713,세무사,2713,세무사
7,JOB,2714,관세사,2714,관세사
7,JOB,2715,경영 및 진단 전문가,2715,경영 및 진단 전문가
7,JOB,2721,투자 및 신용 분석가,2721,투자 및 신용 분석가
7,JOB,2722,자산 운용가,2722,자산 운용가
7,JOB,2723,보험 및 금융 상품 개발자,2723,보험 및 금융 상품 개발자
7,JOB,2724,증권 및 외환 딜러,2724,증권 및 외환 딜러
7,JOB,2725,손해 사정사,2725,손해사정인
7,JOB,2729,기타 금융 및 보험 관련 전문가,2729,기타 금융 및 보험 관련 전문가
7,JOB,2731,상품 기획 전문가,2731,상품기획 전문가
7,JOB,2732,여행 상품 개발자,2732,여행상품 개발자
7,JOB,2733,광고 및 홍보 전문가,2733,광고 및 홍보 전문가
7,JOB,2733,광고 및 홍보 전문가,2811,작가 및 관련 전문가
7,JOB,2734,조사 전문가,2734,조사 전문가
7,JOB,2735,행사 기획자,2735,행사기획자
7,JOB,2741,감정 관련 전문가,2741,감정평가 전문가
7,JOB,2742,해외 영업원,2742,해외 영업원
7,JOB,2743,기술 영업원,2743,기술 영업원
7,JOB,2744,상품 중개인 및 경매사,2744,상품중개인 및 경매사
7,JOB,2745,부동산 컨설턴트 및 중개사,2745,부동산 컨설턴트 및 중개인
7,JOB,2749,기타 기술 영업 및 중개 관련 종사원,2749,기타 기술영업 및 중개 관련 종사자
7,JOB,2811,작가,2811,작가 및 관련 전문가
7,JOB,2812,출판물 전문가,2815,출판물 전문가
7,JOB,2312,건축공학 기술자,2311,건축가 및 건축공학 기술자
7,JOB,2313,토목공학 기술자,2312,토목공학 기술자
7,JOB,2314,조경 기술자,2313,조경 기술자
7,JOB,2315,도시 및 교통 관련 전문가,2314,도시 및 교통설계 전문가
7,JOB,2316,측량 및 지리 정보 전문가,2315,측량 및 지리정보 전문가
7,JOB,2317,건설자재 시험원,2316,건설자재 시험원
7,JOB,2543,기술 및 기능계 강사,2543,기술 및 기능계 강사
7,JOB,2544,예능 강사,2544,예능 강사
7,JOB,2545,학습지 및 교육 교구 방문강사,2545,학습지 및 방문 교사
7,JOB,2549,기타 문리·기술 및 예능 강사,2549,기타 문리·기술 및 예능 강사
7,JOB,2591,장학관·연구관 및 교육 관련 전문가,2591,장학관·연구관 및 교육 관련 전문가
7,JOB,2592,대학 교육 조교,2592,대학 교육조교
7,JOB,2599,기타 교사,2599,보조 교사 및 기타 교사
7,JOB,2611,판사 및 검사,2611,판사 및 검사
7,JOB,2612,변호사,2612,변호사
7,JOB,2613,법무사 및 집행관,2613,법무사 및 집행관
7,JOB,2614,변리사,2614,변리사
7,JOB,2619,기타 법률 전문가,2612,변호사
7,JOB,2619,기타 법률 전문가,2715,경영 및 진단 전문가
7,JOB,2620,정부 및 공공 행정 전문가,2620,정부 및 공공 행정 전문가
7,JOB,2711,인사 및 노사 관련 전문가,2473,직업상담사 및 취업 알선원
7,JOB,87339,그 외 화물차 및 특수차 운전원,87339,그 외 화물차 및 특수차 운전원
7,JOB,87391,승용차 및 승합차 운전원,87391,자가용 운전원
7,JOB,87391,승용차 및 승합차 운전원,87393,승합차 운전원
7,JOB,87392,렌터카 운전원,87392,렌터카 운전원
7,JOB,87393,대리 운전원,87394,대리 운전원
7,JOB,87394,대리 주차원,87395,대리 주차원
7,JOB,87399,그 외 자동차 운전원,87399,그 외 자동차 운전원
7,JOB,87401,크레인 운전원,87401,크레인 운전원
7,JOB,139,기타 전문 서비스 관리자,139,기타 전문서비스 관리자
7,JOB,141,건설·전기 및 생산 관련 관리자,141,건설·전기 및 생산 관련 관리자
7,JOB,149,기타 건설·전기 및 생산 관련 관리자,149,기타 건설·전기 및 생산 관련 관리자
7,JOB,151,판매 및 운송 관리자,151,판매 및 운송 관리자
7,JOB,152,고객 서비스 관리자,152,고객서비스 관리자
7,JOB,153,환경·청소 및 경비 관련 관리자,153,환경·청소 및 경비 관련 관리자
7,JOB,159,기타 판매 및 고객 서비스 관리자,159,기타 판매 및 고객 서비스 관리자
7,JOB,211,생명 및 자연과학 관련 전문가,211,생명 및 자연과학 관련 전문가
7,JOB,212,인문 및 사회과학 전문가,212,인문 및 사회과학 전문가
7,JOB,89229,그 외 사진 인화 및 현상기 조작원,89229,그 외 사진 인화 및 현상기 조작원
7,JOB,89901,주입·포장 및 봉함기 조작원,89901,주입·포장 및 봉함기 조작원
7,JOB,89902,상표 부착기 조작원,89902,상표부착기 조작원
7,JOB,89903,케이블 및 배관 부설기 조작원,89903,케이블 및 배관 부설기 조작원
7,JOB,89904,공기압축기 조작원,89904,공기압축기 조작원
7,JOB,89909,그 외 기계 조작원,89909,그 외 제조관련 기계조작원
7,JOB,91001,건설 단순 종사원,91001,건설 단순 종사원
7,JOB,91002,광업 단순 종사원,91002,광업 단순 종사원
7,JOB,92101,하역 및 적재 관련 단순 종사원,92101,하역 및 적재 관련 단순 종사원
7,JOB,92102,이삿짐 운반원,92102,이삿짐 운반원
7,JOB,92109,그 외 하역 및 적재 단순 종사원,92109,그 외 하역 및 적재 단순 종사원
7,JOB,92210,우편집배원,92210,우편물 집배원
7,JOB,92221,택배원,92221,택배원
7,JOB,92229,그 외 택배원,92229,그 외 택배원
7,JOB,92230,음식 배달원,92230,음식 배달원
7,JOB,92291,음료 배달원,92291,음료 배달원
7,JOB,94,청소 및 경비 관련 단순 노무직,94,청소 및 경비 관련 단순노무직
7,JOB,95,가사·음식 및 판매 관련 단순 노무직,95,가사·음식 및 판매 관련 단순노무직
7,JOB,99,농림·어업 및 기타 서비스 단순 노무직,99,농림어업 및 기타 서비스 단순노무직
7,JOB,A0,군인,A1,군인
7,JOB,1,관리자,1,관리자
7,JOB,2,전문가 및 관련 종사자,2,전문가 및 관련 종사자
7,JOB,2,전문가 및 관련 종사자,4,서비스 종사자
7,JOB,3,사무 종사자,2,전문가 및 관련 종사자
7,JOB,3,사무 종사자,3,사무 종사자
7,JOB,3,사무 종사자,9,단순노무 종사자
7,JOB,4,서비스 종사자,2,전문가 및 관련 종사자
7,JOB,4,서비스 종사자,3,사무 종사자
7,JOB,4,서비스 종사자,4,서비스 종사자
7,JOB,823,세탁 관련 기계 조작원,823,세탁관련 기계조작원
7,JOB,831,석유 및 화학물 가공 장치 조작원,831,석유 및 화학물 가공장치 조작원
7,JOB,832,화학·고무 및 플라스틱 제품 생산기 조작원,832,화학·고무 및 플라스틱 제품 생산기 조작원
7,JOB,21114,농학 연구원,21114,농학 연구원
7,JOB,21115,임학 연구원,21115,임학 연구원
7,JOB,21116,수산학 연구원,21116,수산학 연구원
7,JOB,28709,그 외 식문화 관련 전문가,44290,그 외 음식서비스 종사원
7,JOB,2870,주방장 및 요리 연구가,4429,기타 음식서비스 종사원
7,JOB,287,식문화 관련 전문가,442,음식서비스 종사자
7,JOB,42121,보육 관련 시설 서비스 종사원,95120,육아 도우미
7,JOB,4212,보육 및 교사 보조 서비스 종사원,9512,육아 도우미
7,JOB,421,돌봄 및 보건 서비스 종사자,951,가사 및 육아 도우미
7,JOB,42,돌봄·보건 및 개인 생활 서비스직,95,가사·음식 및 판매 관련 단순노무직
